131,130,130,130,27,26,26,26,25,26,27,1,3
128,130,130,129,131,28,25,27,26,27,27,3,0
128,128,131,130,101,27,27,131,129,130,26,2,0
130,128,128,129,100,26,28,131,98,128,27,2,2
129,130,131,129,101,27,27,90,99,130,27,0,2
129,129,129,130,130,28,26,92,100,129,28,1,1
27,92,25,91,130,26,26,90,130,129,27,3,2
27,91,27,91,26,28,27,91,129,130,27,2,2
1,0,2,3,3,25,27,91,25,26,25,1,0
2,2,0,1,1,25,26,28,27,28,3,1,3
2,0,2,26,1,2,3,27,91,27,1,1,3
1,1,0,26,2,0,0,26,28,26,2,1,3
3,3,3,26,2,1,3,27,26,27,3,1,3
