27,25,26,27,27,27,28,26,128,129,130,129,26
27,26,26,28,25,27,25,25,131,129,129,129,129
28,27,27,25,25,27,26,129,129,129,128,130,100
26,26,26,26,26,27,26,130,130,129,129,129,101
26,26,26,28,26,26,26,90,130,130,130,130,99
26,27,27,27,28,27,28,90,131,129,131,129,129
27,28,26,28,26,26,26,91,27,90,26,90,129
27,27,26,26,28,26,28,92,25,92,27,91,27
2,2,0,2,2,25,26,93,2,0,1,2,1
3,3,2,3,2,26,26,26,3,2,1,1,3
0,2,2,28,0,2,3,26,2,2,1,27,0
1,2,2,25,2,1,3,25,27,27,3,2,2
3,1,2,27,2,0,3,25,26,26,0,2,2
